1;0;2788.00;11.67;1080.00;0.00;0.36
2;0;2928.00;11.35;318.00;0.00;0.52
3;0;2203.00;15.35;373.00;0.00;0.48
4;0;3015.00;10.30;199.00;0.00;0.44
5;0;2852.00;11.27;113.00;0.00;0.44
6;0;2737.00;12.82;1332.00;0.00;0.32
7;0;2325.00;12.60;1339.00;0.00;0.32
8;0;3137.00;10.12;1155.00;0.00;0.36
9;0;2132.00;12.52;477.00;0.00;0.40
10;0;3278.00;10.75;1435.00;0.00;0.36
11;0;3420.00;10.07;1056.00;0.00;0.28
12;0;1993.00;10.60;1373.00;0.00;0.36
13;0;2023.00;11.17;200.00;0.00;0.60
14;0;3367.00;11.77;1867.00;0.00;0.48
15;0;2610.00;10.95;1020.00;0.00;0.32
16;0;3669.00;12.47;1696.00;0.00;0.48
17;0;2330.00;12.87;509.00;0.00;0.32
18;0;3395.00;12.52;1586.00;0.00;0.40
19;0;2132.00;11.47;352.00;0.00;0.40
20;0;3288.00;11.25;1202.00;0.00;0.32
21;0;2922.00;12.35;181.00;0.00;0.56
22;0;2910.00;10.75;1901.00;0.00;0.48
23;0;2019.00;10.92;1410.00;0.00;0.32
24;0;2818.00;13.22;378.00;0.00;0.44
25;0;2777.00;12.22;1629.00;0.00;0.32
26;0;2596.00;11.92;536.00;0.00;0.40
27;0;1860.00;12.75;1560.00;0.00;0.36
28;0;2390.00;10.85;212.00;0.00;0.44
29;0;3759.00;10.60;1987.00;0.00;0.44
30;0;2996.00;12.15;290.00;0.00;0.48
31;0;3841.00;11.87;1800.00;0.00;0.44
32;0;3388.00;11.37;1319.00;0.00;0.32
33;0;2395.00;12.12;1391.00;0.00;0.36
34;0;2495.00;13.07;1817.00;0.00;0.48
35;0;3540.00;11.02;1976.00;0.00;0.60
36;0;2299.00;13.15;1596.00;0.00;0.36
37;0;2845.00;13.42;282.00;0.00;0.44
38;0;2770.00;11.72;1847.00;0.00;0.48
39;0;2428.00;12.05;1549.00;0.00;0.48
40;0;3216.00;12.10;1378.00;0.00;0.32
41;0;2213.00;9.87;1032.00;0.00;0.28
42;0;2903.00;9.97;769.00;0.00;0.24
43;0;2655.00;10.75;1379.00;0.00;0.32
44;0;2645.00;12.62;470.00;0.00;0.48
45;0;2972.00;14.47;379.00;0.00;0.40
46;0;2427.00;10.70;779.00;0.00;0.40
47;0;2331.00;10.20;751.00;0.00;0.36
48;0;1642.00;10.02;1779.00;0.00;0.56
49;0;2599.00;10.85;1899.00;0.00;0.52
50;0;1955.00;10.57;1390.00;0.00;0.32
51;0;2572.00;11.05;263.00;0.00;0.52
52;0;3098.00;10.00;1685.00;0.00;0.44
53;0;2289.00;13.75;1393.00;0.00;0.32
54;0;2390.00;12.00;650.00;0.00;0.40
55;0;2788.00;11.27;1067.00;0.00;0.28
56;0;2733.00;10.77;1526.00;0.00;0.36
57;0;2200.00;9.95;460.00;0.00;0.36
58;0;2643.00;12.02;1868.00;0.00;0.48
59;0;3017.00;12.12;1394.00;0.00;0.20
60;0;3388.00;9.97;1161.00;0.00;0.20
61;0;2742.00;11.47;1042.00;0.00;0.28
62;0;1963.00;15.52;173.00;0.00;0.52
63;0;2331.00;10.80;169.00;0.00;0.56
64;0;2321.00;9.85;699.00;0.00;0.28
65;0;2703.00;11.80;1775.00;0.00;0.44
66;0;3022.00;11.55;1307.00;0.00;0.32
67;0;2331.00;11.95;1326.00;0.00;0.32
68;0;2757.00;12.25;518.00;0.00;0.28
69;0;3538.00;10.40;1419.00;0.00;0.32
70;0;2242.00;13.35;1476.00;0.00;0.28
71;0;2643.00;11.77;1366.00;0.00;0.28
72;0;2647.00;11.07;1177.00;0.00;0.32
73;0;2686.00;11.50;393.00;0.00;0.48
74;0;3545.00;11.80;1657.00;0.00;0.44
75;0;2183.00;11.85;311.00;0.00;0.44
76;0;3559.00;10.35;1136.00;0.00;0.28
77;0;2798.00;12.17;480.00;0.00;0.40
