1;2073.00;10.78;523.00;big
1;2002.56;11.10;419.13;big
2;1998.00;11.50;231.00;big
2;2134.00;11.53;203.00;big
3;2190.45;10.70;499.44;big
3;2356.94;11.90;301.51;big
3;2340.93;11.80;409.22;big
3;2220.51;12.60;282.38;big
3;2143.78;12.30;400.88;big
3;2237.35;11.90;376.57;big
4;2325.00;11.45;131.00;big
4;2540.00;11.95;244.00;big
4;2458.23;11.80;167.19;big
4;2613.47;12.10;319.78;big
5;2759.00;10.00;420.00;big
5;2543.00;12.28;433.00;big
5;2659.90;10.40;424.88;big
6;2756.00;14.70;182.00;big
6;2961.00;13.18;269.00;big
6;2853.75;13.00;305.78;big
6;2944.54;10.20;115.54;big
6;2731.52;10.00;117.65;big
6;2963.71;12.30;354.98;big
6;2833.88;11.70;117.13;big
6;2742.04;11.90;261.88;big
6;3030.96;10.00;174.24;big
7;2696.00;13.45;586.00;big
7;2401.00;10.93;592.00;big
8;2196.00;10.95;644.00;big
8;2200.00;11.80;750.00;big
9;1973.00;11.12;727.00;big
9;2022.00;11.55;738.00;big
10;2936.00;12.53;650.00;big
10;2944.00;10.53;483.00;big
10;2932.32;12.00;563.29;big
10;2992.39;10.70;748.31;big
11;2781.04;11.60;721.95;big
11;2338.70;9.90;745.07;big
11;2467.88;10.80;752.27;big
11;2648.20;10.50;749.27;big
11;2922.18;10.90;751.17;big
11;2865.85;10.20;753.60;big
11;2707.54;10.40;746.86;big
11;2561.06;11.20;758.30;big
11;2418.99;11.10;761.38;big
12;2398.00;9.50;939.00;big
12;2779.00;9.50;887.00;big
13;3021.00;9.50;47.00;big
13;2015.00;9.50;89.00;big
14;1817.00;9.50;397.00;big
14;1877.00;9.50;690.00;big
15;3160.00;9.50;715.00;big
15;3183.00;9.50;436.00;big
16;3135.00;11.40;1411.00;big
16;2295.00;12.70;1377.00;big
17;3197.00;10.10;875.00;big
17;3141.00;10.00;827.00;big
18;3347.00;9.88;988.00;big
18;3538.00;11.60;1112.00;big
19;3572.00;9.50;1007.00;big
19;3203.00;9.50;995.00;big
